service_name,logistic_name,province_name,city_name,package_finalweight_value,rates_shipment_value,rates_insurance_value,surchargefee,delivery_sla_binary
Standard,Velocity,Riau,Rokan Hulu,1.0,47518.0,0.0,0.0,0
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,9099.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Timur,1.0,9099.0,0.0,0.0,1
Standard,Velocity,Jawa Tengah,Sragen,1.0,13500.0,0.0,0.0,1
Standard,Velocity,Jawa Tengah,"Semarang, Kota",1.0,16176.0,0.0,0.0,1
Standard,Velocity,Riau,Dumai,1.0,50000.0,0.0,0.0,1
Standard,Velocity,Jawa Barat,"Bekasi, Kab.",1.0,9099.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Jombang,1.0,10000.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Selatan,2.0,21800.0,2248.0,0.0,1
Swift,Chronos,Jawa Barat,"Bogor, Kab.",1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,2308.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,8000.0,2340.0,0.0,1
Swift,Chronos,Banten,"Serang, Kota",1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Pusat,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kota",1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Tengah,Grobogan,1.0,22000.0,0.0,0.0,1
Swift,Chronos,Jawa Tengah,Purbalingga,1.0,7000.0,3550.0,0.0,0
Swift,Chronos,Jawa Barat,"Bandung, Kota",1.0,11000.0,1213.0,0.0,1
Swift,Chronos,Jawa Timur,"Malang, Kota",1.0,21000.0,2425.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,1213.0,0.0,0
Swift,Chronos,Sulawesi Selatan,Makassar,1.0,55000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,Sumatera Selatan,Prabumulih,1.0,35000.0,0.0,0.0,1
Swift,Chronos,Papua,"Jayapura, Kota",1.0,127000.0,0.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,2425.0,0.0,1
Swift,Chronos,Papua Barat,"Sorong, Kota",1.0,105000.0,3553.0,0.0,0
Swift,Chronos,Banten,"Serang, Kab.",1.0,9000.0,0.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,9000.0,2304.0,0.0,1
Swift,Chronos,Banten,"Tangerang, Kab.",1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Tengah,Cilacap,1.0,17000.0,0.0,0.0,1
Swift,Chronos,Banten,"Tangerang, Kota",1.0,9000.0,1213.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,1095.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,Jawa Barat,"Bandung, Kota",1.0,11000.0,0.0,0.0,1
Swift,Chronos,Jawa Tengah,Boyolali,1.0,18000.0,0.0,0.0,1
Swift,Chronos,Jawa Tengah,"Semarang, Kota",1.0,16000.0,0.0,0.0,1
Swift,Chronos,Lampung,Lampung Timur,1.0,32000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kab.",1.0,9000.0,975.0,0.0,1
Swift,Chronos,Banten,Cilegon,1.0,9000.0,0.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Riau,Indragiri Hulu,1.0,12000.0,0.0,0.0,0
Swift,Chronos,Jawa Barat,Bandung Barat,1.0,11000.0,0.0,0.0,1
Swift,Chronos,Jawa Timur,Gresik,1.0,20000.0,0.0,0.0,1
Swift,Chronos,DI Yogyakarta,Sleman,1.0,18000.0,2425.0,0.0,1
Swift,Chronos,Kepulauan Riau,Batam,1.0,9000.0,0.0,0.0,0
Swift,Chronos,Kepulauan Riau,Batam,1.0,45000.0,0.0,0.0,1
Swift,Chronos,Kepulauan Riau,Batam,1.0,9000.0,0.0,0.0,0
Swift,Chronos,Kepulauan Riau,Batam,1.0,9000.0,0.0,0.0,0
Swift,Chronos,Jawa Timur,Sidoarjo,1.0,17000.0,1213.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,2308.0,0.0,1
Swift,Chronos,Bali,Badung,1.0,30000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,8000.0,2425.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,Kepulauan Riau,Batam,1.0,9000.0,0.0,0.0,0
Swift,Chronos,Jawa Barat,Depok,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Banten,"Tangerang, Kab.",1.0,9000.0,7223.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kota",1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kota",1.0,9000.0,0.0,0.0,1
Swift,Chronos,Sumatera Selatan,Palembang,1.0,20000.0,0.0,0.0,1
Swift,Chronos,Banten,"Serang, Kab.",1.0,9000.0,0.0,0.0,0
Swift,Chronos,Banten,"Serang, Kab.",1.0,9000.0,0.0,0.0,0
Swift,Chronos,Jawa Barat,"Bekasi, Kota",1.0,9000.0,1213.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kab.",1.0,9000.0,2425.0,0.0,1
Swift,Chronos,Jawa Barat,"Bogor, Kab.",1.0,9000.0,1213.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,2.0,18000.0,4498.0,0.0,1
Swift,Chronos,Banten,Cilegon,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Banten,"Serang, Kab.",1.0,9000.0,0.0,0.0,1
Swift,Chronos,Banten,"Tangerang, Kota",1.0,9000.0,0.0,0.0,1
Swift,Chronos,Riau,Pekanbaru,1.0,7000.0,999.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Pusat,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Papua Barat,Kaimana,1.0,139000.0,0.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,900.0,0.0,1
Swift,Chronos,DI Yogyakarta,Yogyakarta,1.0,15000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,Depok,1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,2188.0,0.0,1
Swift,Chronos,Sumatera Utara,Medan,1.0,36000.0,1213.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,2188.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,5825.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,8000.0,2188.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,4100.0,0.0,1
Swift,Chronos,Jawa Timur,"Mojokerto, Kab.",1.0,22000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bogor, Kota",1.0,9000.0,2425.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,8000.0,1213.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Pusat,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,Banten,"Serang, Kota",1.0,9000.0,2425.0,0.0,1
Swift,Chronos,Jawa Timur,Surabaya,1.0,18000.0,1213.0,0.0,1
Swift,Chronos,Jawa Barat,Purwakarta,1.0,13000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bandung, Kota",1.0,11000.0,2458.0,0.0,1
Swift,Chronos,Sulawesi Selatan,Makassar,1.0,7000.0,0.0,0.0,0
Swift,Chronos,Jawa Barat,Depok,1.0,9000.0,1213.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kab.",1.0,9000.0,200.0,0.0,1
Swift,Chronos,Jawa Tengah,Klaten,1.0,33000.0,4737.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kota",1.0,9000.0,1213.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,Jawa Timur,"Mojokerto, Kab.",1.0,24000.0,0.0,0.0,1
Swift,Chronos,Jawa Timur,Surabaya,1.0,18000.0,3550.0,0.0,1
Swift,Chronos,Jawa Tengah,Wonosobo,1.0,26000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,8000.0,3275.0,0.0,1
Swift,Chronos,Sulawesi Barat,Mamuju,1.0,68000.0,0.0,0.0,1
Swift,Chronos,Jambi,Jambi,1.0,27000.0,2425.0,0.0,1
Swift,Chronos,Jawa Tengah,"Semarang, Kota",1.0,17000.0,3550.0,0.0,1
Swift,Chronos,Banten,"Serang, Kab.",1.0,12000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bogor, Kab.",1.0,9000.0,3553.0,0.0,1
Classic,Phantom,Sumatera Utara,Sibolga,1.0,46200.0,0.0,0.0,0
Classic,Phantom,Banten,Tangerang Selatan,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kota",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kab.",2.0,22000.0,2500.0,0.0,0
Classic,Phantom,Sumatera Barat,Payakumbuh,1.0,38000.0,0.0,0.0,1
Classic,Phantom,Lampung,Bandar Lampung,1.0,18000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kab.",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Nusa Tenggara Barat,Mataram,1.0,35000.0,0.0,0.0,1
Classic,Phantom,Banten,Lebak,1.0,13000.0,0.0,0.0,1
Classic,Phantom,Sumatera Utara,Medan,1.0,36000.0,0.0,0.0,0
Classic,Phantom,DKI Jakarta,Jakarta Timur,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Banten,"Tangerang, Kab.",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kab.",1.0,16000.0,0.0,0.0,1
Classic,Phantom,Jawa Tengah,Blora,1.0,18800.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,Depok,2.0,16000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,0
Classic,Phantom,Banten,"Tangerang, Kota",2.0,16000.0,0.0,0.0,1
Classic,Phantom,DI Yogyakarta,Sleman,1.0,18000.0,0.0,0.0,1
Classic,Phantom,Nusa Tenggara Barat,Lombok Barat,1.0,49000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Timur,4.0,32000.0,2588.0,0.0,1
Classic,Phantom,Riau,Rokan Hilir,1.0,44200.0,0.0,0.0,1
Classic,Phantom,Jawa Timur,Sidoarjo,1.0,17000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Barat,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Sumatera Barat,Bukittinggi,1.0,33600.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bogor, Kab.",1.0,8000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kota",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kab.",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Bali,Badung,1.0,30000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Utara,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kota",2.0,32000.0,0.0,0.0,0
Classic,Phantom,Jawa Barat,"Bekasi, Kota",2.0,32000.0,0.0,0.0,0
Classic,Phantom,DKI Jakarta,Jakarta Barat,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Sumatera Barat,Padang,1.0,34000.0,0.0,0.0,1
Classic,Phantom,Kepulauan Riau,Batam,1.0,36400.0,0.0,0.0,0
Classic,Phantom,Banten,"Tangerang, Kab.",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Tengah,Sragen,1.0,18000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Cirebon, Kota",1.0,10000.0,0.0,0.0,1
Classic,Phantom,DI Yogyakarta,Bantul,1.0,17000.0,0.0,0.0,1
Classic,Phantom,Jawa Tengah,"Semarang, Kota",1.0,17000.0,0.0,0.0,0
Classic,Phantom,Papua,Mimika,1.0,182800.0,0.0,0.0,1
Classic,Phantom,Banten,"Tangerang, Kab.",2.0,16000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Timur,Jember,1.0,22000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kota",2.0,32000.0,0.0,0.0,0
Classic,Phantom,Jawa Barat,"Bekasi, Kota",2.0,32000.0,0.0,0.0,0
Classic,Phantom,Jawa Barat,Bandung Barat,1.0,10600.0,0.0,0.0,1
Classic,Phantom,Jawa Tengah,Surakarta (Solo),1.0,17600.0,0.0,0.0,1
Classic,Phantom,Jawa Timur,Surabaya,1.0,18000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,Majalengka,1.0,14600.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,Karawang,1.0,10000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Cirebon, Kota",1.0,10000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bandung, Kab.",1.0,11000.0,0.0,0.0,1
Classic,Phantom,Jawa Timur,Sidoarjo,1.0,17000.0,0.0,0.0,1
Classic,Phantom,Jawa Timur,Surabaya,3.0,108000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bogor, Kab.",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,Ciamis,1.0,14400.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bogor, Kab.",2.0,16000.0,2500.0,0.0,0
Classic,Phantom,Jawa Tengah,Blora,1.0,18800.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Barat,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kota",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bandung, Kota",1.0,11000.0,0.0,0.0,0
Classic,Phantom,Jawa Timur,Sidoarjo,1.0,17000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Barat,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Tengah,"Semarang, Kota",1.0,17000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Sumatera Utara,Medan,1.0,36000.0,0.0,0.0,0
Classic,Phantom,Kalimantan Selatan,Banjarbaru,1.0,51800.0,0.0,0.0,0
Classic,Phantom,Jawa Tengah,Klaten,1.0,18000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Timur,1.0,8000.0,2500.0,0.0,0
Classic,Phantom,Jawa Timur,"Malang, Kota",1.0,19800.0,0.0,0.0,1
Classic,Phantom,Kepulauan Riau,Batam,1.0,36400.0,0.0,0.0,0
Classic,Phantom,Kepulauan Riau,Batam,1.0,36400.0,0.0,0.0,0
Classic,Phantom,DKI Jakarta,Jakarta Barat,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Sumatera Barat,"Solok, Kota",1.0,35600.0,0.0,0.0,1
Classic,Phantom,Banten,Tangerang Selatan,1.0,8000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Utara,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Tengah,Klaten,1.0,18000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,Depok,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bandung, Kota",1.0,11000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kab.",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Riau,Pekanbaru,1.0,34000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Pusat,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Tengah,Sragen,1.0,18000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bandung, Kota",1.0,11000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,Garut,1.0,15400.0,0.0,0.0,1
Classic,Phantom,Jawa Tengah,Demak,1.0,20400.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Timur,Surabaya,1.0,18000.0,0.0,0.0,1
Classic,Phantom,Jambi,Jambi,1.0,27000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,Sumedang,2.0,30000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Utara,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Timur,Gresik,1.0,20000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bogor, Kota",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kota",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Kalimantan Selatan,Banjarbaru,1.0,51800.0,0.0,0.0,0
Classic,Phantom,Banten,Cilegon,1.0,10000.0,0.0,0.0,1
Classic,Phantom,Sumatera Utara,Medan,1.0,36000.0,0.0,0.0,1
Classic,Phantom,Jawa Tengah,Boyolali,1.0,18800.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Barat,1.0,43500.0,0.0,0.0,1
Flash,Nimbus,Banten,Tangerang Selatan,1.0,97000.0,0.0,0.0,1
Urgent,Nimbus,Banten,"Tangerang, Kab.",1.0,51000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,16000.0,0.0,0.0,1
Urgent,Nimbus,DKI Jakarta,Jakarta Timur,1.0,37000.0,0.0,0.0,1
Flash,Nimbus,Riau,Pekanbaru,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Pusat,1.0,16000.0,0.0,0.0,1
Flash,Nimbus,Riau,Pekanbaru,1.0,13000.0,0.0,0.0,0
Flash,Nimbus,Jawa Timur,"Pasuruan, Kota",3.0,16500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",4.0,18500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",1.0,20000.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",7.0,16000.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",1.0,16000.0,0.0,0.0,1
Flash,Nimbus,Kepulauan Riau,Batam,5.0,12500.0,0.0,0.0,0
Flash,Nimbus,DKI Jakarta,Jakarta Timur,1.0,56000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",1.0,16000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Utara,2.0,24500.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,38000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjar,1.0,22000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,17500.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",4.0,19000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",5.0,18000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,29500.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,Depok,4.0,33000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Barito Kuala,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,Banten,"Serang, Kota",1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Banten,"Serang, Kota",1.0,12500.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,22000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,Kepulauan Riau,Batam,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,Kepulauan Riau,Batam,1.0,12500.0,0.0,0.0,0
Urgent,Nimbus,DKI Jakarta,Jakarta Barat,1.0,30000.0,0.0,0.0,0
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,Banten,"Serang, Kota",1.0,12500.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,20500.0,0.0,0.0,0
Flash,Nimbus,Kalimantan Selatan,Banjarbaru,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,14500.0,0.0,0.0,1
Flash,Nimbus,Banten,"Serang, Kota",1.0,12500.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Utara,1.0,68500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Banten,"Serang, Kota",1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Banten,"Serang, Kota",1.0,18500.0,0.0,0.0,0
Flash,Nimbus,DKI Jakarta,Jakarta Pusat,3.0,22000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Timur,2.0,22000.0,0.0,0.0,1
Flash,Nimbus,Banten,"Serang, Kota",1.0,14500.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kab.",3.0,24000.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",15.0,16000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,14500.0,0.0,0.0,0
Flash,Nimbus,Kalimantan Timur,Samarinda,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,23000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,16.0,102500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,Jawa Tengah,"Semarang, Kab.",1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,Depok,7.0,16000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,16000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,16000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,14500.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",2.0,18000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Pusat,1.0,40500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",15.0,16000.0,0.0,0.0,1
Flash,Nimbus,Banten,"Serang, Kota",1.0,12500.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Pusat,1.0,16000.0,0.0,0.0,0
Flash,Nimbus,Kalimantan Selatan,Banjarbaru,1.0,18500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Kepulauan Riau,Batam,1.0,12500.0,0.0,0.0,0
Flash,Nimbus,DKI Jakarta,Jakarta Timur,3.0,56500.0,0.0,0.0,0
Flash,Nimbus,DKI Jakarta,Jakarta Barat,1.0,24000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Utara,1.0,50500.0,0.0,0.0,1
Flash,Nimbus,Riau,Pekanbaru,2.0,12500.0,0.0,0.0,0
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",2.0,16000.0,0.0,0.0,0
Flash,Nimbus,Aceh,Banda Aceh,1.0,25500.0,0.0,0.0,0
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,30500.0,0.0,0.0,1
Flash,Nimbus,Banten,"Serang, Kota",1.0,13500.0,0.0,0.0,0
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",1.0,79000.0,0.0,0.0,0
Flash,Nimbus,Kalimantan Selatan,Banjarbaru,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Bali,Badung,6.0,38000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Banten,"Serang, Kota",1.0,14500.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Selatan,1.0,22500.0,0.0,0.0,1
Flash,Nimbus,DI Yogyakarta,Yogyakarta,1.0,13000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Pusat,4.0,36500.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",1.0,16000.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",1.0,16000.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",3.0,18500.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,"Bekasi, Kota",5.0,16000.0,0.0,0.0,1
Flash,Nimbus,Jawa Barat,Depok,7.0,16000.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,1
Flash,Nimbus,Banten,"Serang, Kota",1.0,13000.0,0.0,0.0,1
Flash,Nimbus,DKI Jakarta,Jakarta Timur,1.0,57500.0,0.0,0.0,1
Flash,Nimbus,Kalimantan Selatan,Banjarmasin,1.0,12500.0,0.0,0.0,0
